xUTM,yUTM,Forest,Bird,Zones
1273511.589,11868202.87,736,0,1
1193511.589,11908202.87,744,0,1
1103511.589,12148202.87,746,0,1
1703511.589,12158202.87,746,0.459530224,1
1133511.589,12178202.87,747,0.336472237,1
1693511.589,12158202.87,754,0.277631737,1
1173511.589,11788202.87,760,0.029850022,1
1363511.589,11818202.87,762,0,1
1343511.589,11898202.87,764,0,1
1203511.589,11798202.87,765,0,1
1643511.589,12128202.87,768,0.028169488,1
1193511.589,11918202.87,771,0.08701221,1
1213511.589,11888202.87,777,0,1
1263511.589,11868202.87,779,0,1
1253511.589,11818202.87,783,0.105359516,1
1263511.589,11908202.87,785,0.111228267,1
1183511.589,12078202.87,788,0.080039631,1
1163511.589,11808202.87,793,0,1
1333511.589,11848202.87,794,0,1
1193511.589,11888202.87,797,0.348309047,1
1293511.589,11888202.87,799,0,1
1273511.589,11828202.87,811,0.028985823,1
1163511.589,11788202.87,823,0,1
1343511.589,11818202.87,831,0.01212618,1
1343511.589,11908202.87,840,0,1
1313511.589,11838202.87,846,0.01904744,1
1263511.589,11818202.87,848,0,1
1233511.589,11848202.87,848,0,1
1193511.589,11748202.87,853,0.060624622,1
1313511.589,11998202.87,858,0,1
1383511.589,12008202.87,858,0,1
1683511.589,12108202.87,858,0,1
1343511.589,11858202.87,859,0,1
1053511.589,12178202.87,862,0.287679572,1
1263511.589,11808202.87,863,0,1
1363511.589,11858202.87,867,0,1
1193511.589,11768202.87,869,0,1
1293511.589,11908202.87,873,0,1
1553511.589,11958202.87,875,0.080039631,1
1233511.589,11868202.87,876,0.040825195,1
1253511.589,12238202.87,887,0.113328685,1
1273511.589,11918202.87,891,0,1
1233511.589,11828202.87,892,0,1
1193511.589,11828202.87,895,0,1
1273511.589,11848202.87,895,0,1
1103511.589,12178202.87,899,0.257830927,1
1173511.589,12138202.87,902,0.113328685,1
1283511.589,11838202.87,904,0.037738847,1
1273511.589,11818202.87,905,0,1
1233511.589,11818202.87,917,0,1
1213511.589,11838202.87,919,0.039220713,1
1203511.589,11958202.87,919,0.039220713,1
1363511.589,11958202.87,920,0,1
1353511.589,11818202.87,921,0,1
1233511.589,11798202.87,925,0,1
1263511.589,11838202.87,929,0,1
1703511.589,12118202.87,935,0.154153537,1
1283511.589,12008202.87,944,0.037738847,1
1223511.589,11878202.87,954,0,1
