species,fb,wall,orn,shape,volume,genus,family,order,class,phylum
Capitotricha.bicolor,Discoid,Thin,No,5.333333333,14.13716694,Capitotricha,Lachnaceae,Helotiales,Leotiomycetes,Ascomycota
Capronia.cf.mansonii,Pyrenoid,Thick,No,1.6,1256.637061,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Capronia.cf.pilosella,Pyrenoid,Thick,No,2.260869565,337.5739481,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Capronia.cf.semi.immersa,Pyrenoid,Thick,No,2.4,795.2156404,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Capronia.sp4.,Pyrenoid,Thick,No,2.4,795.2156404,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Capronia.sp5.,Pyrenoid,Thick,No,2.666666667,452.3893421,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Ascomycota
Ceraceomyces.eludens,Resupinate,Thin,No,1.209677419,28.30378631,Ceraceomyces,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Ceraceomyces.microsporus,Resupinate,Thin,No,1.181818182,19.30361423,Ceraceomyces,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Ceraceomyces.serpens,Resupinate,Thin,No,2.111111111,18.88637146,Ceraceomyces,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Ceraceomyces.tessulatus,Resupinate,Thin,No,1.75,87.9645943,Ceraceomyces,Amylocorticiaceae,Boletales,Agaricomycetes,Basidiomycota
Ceratosebacina.longispora,Resupinate,Thin,No,6.25,314.1592654,Ceratosebacina,Exidiaceae,Auriculariales,Agaricomycetes,Basidiomycota
Ceratosphaeria.cf.subferruginea,Pyrenoid,Thin,No,3.25,551.3495107,Ceratosphaeria,Magnaporthaceae,Magnaporthales,Sordariomycetes,Ascomycota
Ceratosphaeria.lampadophora,Pyrenoid,Thin,No,11.9047619,692.7211801,Ceratosphaeria,Magnaporthaceae,Magnaporthales,Sordariomycetes,Ascomycota
Ceratosphaeria.rhenana,Pyrenoid,Thin,No,3.545454545,463.2867416,Ceratosphaeria,Magnaporthaceae,Magnaporthales,Sordariomycetes,Ascomycota
Ceratostomella.rostrata,Pyrenoid,Thin,No,3,12.62772985,Ceratostomella,Magnaporthaceae,Magnaporthales,Sordariomycetes,Ascomycota
Cerinomyces.crustulinus,Resupinate,Thin,No,3.076923077,82.95768101,Cerinomyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Cerioporus.leptocephalus,Pileate,Thin,No,2.304347826,74.31820304,Cerioporus,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
Cerioporus.mollis,Pileate,Thin,No,3.142857143,105.8324025,Cerioporus,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
