species,fb,wall,orn,shape,volume,genus,family,order,class,phylum
Trichoderma.strictipile,Stromatoid,Thin,Yes,1.103092784,98.8387264,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Trichoderma.viride,Stromatoid,Thin,Yes,1.466666667,60.7456392,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Tricholomopsis.decora,Gilled,Thin,No,1.409090909,184.1267819,Tricholomopsis,Tricholomataceae,Agaricales,Agaricomycetes,Basidiomycota
Trichophaeopsis.bicuspis,Discoid,Thick,No,1.383928571,1527.065357,Trichophaeopsis,Pyronemataceae,Pezizales,Pezizomycetes,Ascomycota
Trichosphaeria.notabilis,Pyrenoid,Thin,No,2.538461538,547.5206947,Trichosphaeria,Trichosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Tubaria.conspersa,Gilled,Thin,No,1.434782609,214.2296209,Tubaria,Tubariaceae,Agaricales,Agaricomycetes,Basidiomycota
Tubaria.furfuracea,Gilled,Thin,No,1.571428571,178.5921792,Tubaria,Tubariaceae,Agaricales,Agaricomycetes,Basidiomycota
Tubulicrinis.accedens,Resupinate,Thin,No,1.525423729,30.75717383,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.angustus,Resupinate,Thin,No,5,26.93523001,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.borealis,Resupinate,Thin,No,3,18.84955592,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.calothtrix,Resupinate,Thin,No,4,16.83697313,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.chaetophorus,Resupinate,Thin,No,1.846153846,49.77460861,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.glebulosus,Resupinate,Thin,No,4,20.70874064,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.medius,Resupinate,Thin,No,4,16.83697313,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.propinquus,Resupinate,Thin,No,4.242424242,14.9677255,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.sororius,Resupinate,Thin,No,3.428571429,14.43169125,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.strangulatus,Resupinate,Thin,No,1,14.6159653,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tubulicrinis.subulatus,Resupinate,Thin,No,4,16.83697313,Tubulicrinis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Tulasnella.albida,Resupinate,Thin,No,1.222222222,87.47372045,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.allantospora,Resupinate,Thin,No,3,49.00148229,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.brinkmannii,Resupinate,Thin,No,3.157894737,265.8081909,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.cf.conidiata,Resupinate,Thin,No,1.428571429,384.8451001,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.cystidiophora,Resupinate,Thin,No,1,98.17477042,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.eichleriana,Resupinate,Thin,No,1.363636364,22.27340104,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.fuscoviolacea,Resupinate,Thin,No,2.823529412,170.2350519,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.pallida,Resupinate,Thin,No,1.739130435,259.6722678,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.subglobospora,Resupinate,Thin,No,1.153846154,248.873043,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.tomaculum,Resupinate,Thin,No,2,32.66765486,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tulasnella.violea,Resupinate,Thin,No,1.3,127.6272016,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycota
Tylospora.asterophora,Resupinate,Thin,No,1.176470588,70.93127163,Tylospora,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Tylospora.fibrillosa,Resupinate,Thin,Yes,1.315789474,110.7534129,Tylospora,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Tympanis.sp1.,Discoid,Thin,No,4.75,238.7610417,Tympanis,Tympanidaceae,Helotiales,Leotiomycetes,Ascomycota
Urceolella.sp.nov.,Discoid,Thin,No,2.612903226,61.13617844,Urceolella,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Vaginatispora.cf.fuckelii,Pyrenoid,Thick,No,3.625,182.2123739,Vaginatispora,Massarinaceae,Pleosporales,Dothideomycetes,Ascomycota
