Temp1,Temp2,Temp3
0.868590924,0.037114368,-0.178808356
0.849788472,0.92470119,1.302385247
0.855682849,0.920443319,0.192705923
0.855555621,0.92032423,0.197501652
0.855492104,0.920258691,0.197476193
-0.267479159,0.383002695,0.100352148
-0.267561435,0.382973906,0.10027143
-0.26766277,0.382920972,0.100155399
-1.442487943,-0.931537337,-1.768801687
-1.442466906,-0.931502237,-1.768761378
-1.580673684,-0.929413676,-1.179287719
0.835939636,0.890594134,0.129037108
-0.3466703,0.592129059,-0.058658854
-0.345154835,0.600856457,-0.072211933
-1.465388585,-0.75628216,-1.420551142
-0.266429038,0.384253599,0.102223973
-0.268604948,0.394709655,0.090435946
-0.139203948,0.10898322,0.389788829
-0.139240355,0.109046125,0.389822698
0.850149656,0.925397675,1.302637681
0.868157848,1.192617586,1.048329888
0.996026183,-0.053737447,-0.11280964
1.431343667,0.609744795,1.09737293
1.431350584,0.609833342,1.09743755
-1.38797067,-0.805152234,-1.331131606
0.866718244,1.059033126,1.231899473
0.867286786,1.192450224,1.047521256
0.863839825,1.062690499,1.225661698
0.794474927,0.045781405,-0.208458133
0.982311027,-0.043903618,-0.128927146
0.291177449,0.044266568,-0.161037866
0.495991253,-0.123724539,-0.252543145
-1.348035543,-0.841724609,-1.303588616
-1.450424443,-0.760074558,-1.399365529
-1.35921276,-0.831430955,-1.311628236
-0.926086647,-1.803959566,-1.856561594
-0.926037556,-1.801128706,-1.854627766
-1.140459687,-1.850161318,-1.605387851
-0.165795203,-0.449856419,0.37618698
-0.165960942,-0.450075815,0.37601439
1.035424956,0.700292417,0.684325419
1.028033505,0.701635479,0.670606959
1.034309625,0.698908486,0.65546145
1.013435242,0.589636812,0.729246588
1.013669306,0.589903537,0.729443648
0.308623791,0.821637089,1.185762578
0.313379076,0.821164268,1.182404013
0.313856539,0.82167704,1.182850265
0.794625345,-0.301006236,-0.166175228
0.794932191,-0.300686094,-0.165860812
-1.822835319,-1.12503665,-1.678974843
-1.823053603,-1.125195786,-1.678959428
0.051788062,-0.253183271,-0.347410589
0.064292466,-0.26625333,-0.348853371
0.064060871,-0.266513976,-0.349073298
1.00562267,0.639282929,0.709929016
1.007544341,0.628900871,0.715503942
