"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","datasetstudy","forceday","forcenight","photonight"
"anzanello16","exp1","Vitis","vinifera","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",83.33333333,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"anzanello16","exp1","Vitis","vinifera","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",55.55555556,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
"anzanello16","exp1","Vitis","vinifera","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",30.3030303,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Vitis","vinifera","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",20,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",111.1111111,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",62.5,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",30.3030303,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",21.27659574,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",76.92307692,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",29.41176471,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Pyrus","communis","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",19.23076923,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",100,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",40,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
