"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","datasetstudy","forceday","forcenight","photonight"
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",29.4,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",19.2,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",83.33333333,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Actinidia","deliciosa","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",34.48275862,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",34.48275862,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",83.33333333,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","2",NA,"0","24","daystobudburst","timeonly",0,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",2,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","10",NA,"0","24","daystobudburst","timeonly",23.3,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",10,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","12",NA,"0","24","daystobudburst","timeonly",16.9,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",12,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",NA,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","4",NA,"0","24","daystobudburst","timeonly",76.9,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",4,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","8",NA,"0","24","daystobudburst","timeonly",30.3,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",8,NA,24
"anzanello16","exp1","Prunus","persica","yes",-28.94,-51.57,"south america",2014,"no","13-Jun-2014","0","0","","6",NA,"0","24","daystobudburst","timeonly",55.6,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"anzanello16 exp1",6,NA,24
"caffarra11a","exp1","Betula","pubescens","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",1.77,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
"caffarra11a","exp1","Salix","smithiana","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",3.75,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
"caffarra11a","exp1","Fagus","sylvatica","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",3.99,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
"caffarra11a","exp1","Tilia","cordata","yes",52.32,-6.934,"europe",2004,"","","","","","22","","16","8","daystobudburst","timeonly",7.78,"daystobudburst",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caffarra11a exp1",22,NA,8
